ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1941685399,2024-02-17 13:54,KAS/USDT,MONITOR bot chenel,⏬SHORT, 10 или же на 1%. ,Cross, 0.1615-0.1695, 0.1715, 0.1585 | 0.145
1941685399,2024-02-18 14:30,ALT/USDT,MONITOR bot chenel,⏬SHORT, 10 или же на 1%. ,Cross, 0.450-465, 0.470, 0.4425 | 0.420
1941685399,2024-02-19 13:38,XAI/USDT,MONITOR bot chenel,⏬SHORT, 10 или же на 1%. ,Cross, 1.29-1.37, 1.39, 1.26 | 1.12
1941685399,2024-02-20 15:22,FIL/USDT,MONITOR bot chenel,⏫LONG, 10 или же на 1%. ,Cross, 7.54-7.30, 7.22, 7.66 | 8
1941685399,2024-02-21 13:01,ORDI/USDT,MONITOR bot chenel,⏫LONG, 10 или же на 1%. ,Cross, 65.4-64, 63.4, 66 | 68
1941685399,2024-02-22 12:39,MANTA/USDT,MONITOR bot chenel,⏬SHORT, 10 или же на 1%. ,Cross, 3.37-3.44, 3.47, 3.33 | 3.21
1941685399,2024-02-23 15:42,ONDO/USDT,MONITOR bot chenel,⏬SHORT, 10 или же на 1%. ,Cross, 0.398-0.420, 0.425, 0.390 | 0.350
1941685399,2024-02-24 13:21,STRK/USDT,MONITOR bot chenel,⏫LONG, 10 или же на 1%. ,Cross, 1.93-1.89, 1.87, 1.95 | 2.04 
1941685399,2024-02-25 13:46,WOO/USDT,MONITOR bot chenel,⏬SHORT, 10 или же на 1%. ,Cross, 0.508-0.523, 0.528, 0.500 | 0.470
1941685399,2024-02-26 13:08,PIXEL/USDT,MONITOR bot chenel,⏫LONG, 10 или же на 1%. ,Cross, 0.588-568, 0.563, 0.596 | 0.640
1941685399,2024-02-27 13:24,STRK/USDT,MONITOR bot chenel,⏬SHORT, 10 или же на 1%. ,Cross, 1.965-2.01, 2.03, 1.94 | 1.88
