ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1165905101,2023-12-27 14:51,QTUM/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 3.53, 3.66 , 3.49 3.4 3.31
1165905101,2023-12-27 16:27,ETH/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 2374, укажу позже, 2340$ 2293$ 2235$
1165905101,2023-12-28 12:14,ID/USDT,MONITOR bot chenel,⏫long,х5 - х55,Cross, 0.328, 0.3175, 0.3331 0.341 0.359
1165905101,2023-12-29 12:34,XRP/USDT,MONITOR bot chenel,⏫long,х5 - х55,Cross, 0.6315, укажу позже, 0.638 0.6485 0.665
1165905101,2024-01-02 12:37,BTC/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 45.662$, укажу позже, 45.160$ 44.500$ 43.600$
1165905101,2024-01-03 14:36,ETH/USDT,MONITOR bot chenel,⏫long,х5 - х55,Cross, 2193, укажу позже, 2220$ 2247$ 2298$
1165905101,2024-01-04 10:21,GRT/USDT,MONITOR bot chenel,⏫long,х5 - х55,Cross, 0.1832, укажу позже, 0.1854$ 0.1886$ 0.196$
1165905101,2024-01-04 16:23,BTC/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 44.130$, укажу позже, 43.600$ 43.050$ 40.700$
1165905101,2024-01-05 11:49,GRT/USDT,MONITOR bot chenel,⏫long,х5 - х55,Cross, 0.1848, укажу позже, 0.1869$ 0.1886$ 0.196$
1165905101,2024-01-06 15:54,RUNE/USDT,MONITOR bot chenel,⏫long,х5 - х55,Cross, 4.885, укажу позже, 4.94 5.045 5.3
1165905101,2024-01-07 10:21,ARB/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 1.8$ , укажу позже, 1.7798 1.76 1.671
1165905101,2024-01-07 14:01,BTC/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 44.450, укажу позже, 44.070$ 43.200$ 41.400$ 
1165905101,2024-01-08 10:40,MTL/USDT,MONITOR bot chenel,⏫long,х5 - х55,Cross, 1.403, 1.35, 1.4176 1.438 1.55
1165905101,2024-01-08 16:02,BTC/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 45.040, укажу позже, 44.530$ 43.700$ 41.517$
1165905101,2024-01-09 16:23,KAS/USDT,MONITOR bot chenel,⏬short,х5 - х55,Cross, 0.1153, 0.1181, 0.11387 0.11182 0.107
