ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1500911313,2023-12-22 13:11,APT/USDT,Bot Testing channel,⏬SHORT,30х,Cross,часть по рынку +лимитка: 8.82,9.3,"8.41, 8.1, 7.5"
1500911313,2023-12-24 11:59,DYDX/USDT,MONITOR bot chenel,⏫LONG, 25х,Cross, часть по рынку +лимитка 2.73, 2.63," 3.17, 3.33, 3.7"
1500911313,2023-12-25 10:35,ARB/USDT,MONITOR bot chenel,⏬SHORT, 25х,Cross, часть по рынку +лимитка 1.388, 1.418," 1.327, 1.28, 1.20"
1500911313,2023-12-25 14:33,BLUR/USDT,MONITOR bot chenel,⏫LONG, 20х,Cross, часть по рынку +лимитка 0.520, 0.4849," 0.535, 0.561, 0.6"
1500911313,2023-12-26 08:50,MASK/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, часть по рынку +лимитка: 3.36, 3.14," 3.66, 3.9, 4.1"
1500911313,2023-12-26 13:41,ETH/USDT,MONITOR bot chenel,⏫LONG, 50х,Cross, часть по рынку +лимитка: 2165, 2115," 2291, 2358, 2516"
1500911313,2023-12-27 09:32,EDU/USDT,MONITOR bot chenel,⏫LONG, 25х,Cross, часть по рынку +лимитка 0.745, 0.72," 0.78, 0.81, 0.91"
1500911313,2023-12-28 11:55,RUNE/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, часть по рынку +лимитка: 5.32, 5.04," 5.8, 6.2, 6.6"
1500911313,2023-12-28 15:37,NEO/USDT,MONITOR bot chenel,⏫LONG, 12.5x,Cross, часть по рынку +лимитка: 13.14, 12.5," 14.08, 15.16, 18.95"
1500911313,2023-12-29 09:26,RNDR/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, часть по рынку +лимитка: 4.42, 4.2," 4.83, 5.11, 5.573"
1500911313,2023-12-29 16:31,RUNE/USDT,MONITOR bot chenel,⏫LONG, 20x,Cross, часть по рынку +лимитка: 5.28, 5.04," 5.8, 6.2, 6.6"
1500911313,2023-12-30 13:18,NEO/USDT,MONITOR bot chenel,⏬SHORT, 12.5x,Cross, часть по рынку +лимитка: 14.37, 15," 12.94, 11.86, 10.24"
1500911313,2024-01-02 10:57,DYDX/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, часть по рынку +лимитка: 3.01, 2.85," 3.21, 3.33, 3.77 "
1500911313,2024-01-02 15:30,BTC/USDT,MONITOR bot chenel,⏬SHORT, 40x,Cross, часть по рынку +лимитка: 46400, 47300," 44000,42000, 40000"
1500911313,2024-01-02 15:36,AAVE/USDT,MONITOR bot chenel,⏫LONG, 20x,Cross, часть по рынку +лимитка: 99.7, 92.6 ," 117.9, 129.1, 155"
1500911313,2024-01-03 10:22,ALGO/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, часть по рынку +лимитка: 0.225, 0.22," 0.239, 0.248, 0.266"
