ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1914126931,2023-12-23 11:38,REN/USDT,Bot Testing channel,⏬SHORT, 25x,Cross, 0.066704, 0.068702, 0.066038; 0.065327; 0.063857; 0.062410
1914126931,2023-12-23 16:04,NEO/USDT,Bot Testing channel,⏬SHORT, 30x,Cross, 14.038, 14.421," 13.908; 13.775;,13.630; 13.357"
1914126931,2023-12-24 10:51,IOST/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, 0.010019, 0.009859, 0.010107; 0.010220; 0.010375
1914126931,2023-12-25 09:37,NEAR/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, 3.8763, 0.009859, 0.010107; 0.010220; 0.010375
1914126931,2023-12-25 09:38,NEAR/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, 3.8763, 3.779, 3.9125; 3.9729; 4.0472; 4.1068
1914126931,2023-12-25 15:31,ADA/USDT,MONITOR bot chenel,⏬SHORT, 25x,Cross, 0.61723, 0.62958, 0.61169; 0.60167; 0.58310
1914126931,2023-12-26 11:42,ADA/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, 0.61006, 0.59261, 0.61556; 0.62505; 0.63527; 0.65075
1914126931,2023-12-26 16:44,SOL/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, 112.181, 108.827, 113.290; 114.385; 116.835; 119.64
1914126931,2023-12-27 10:26,YFI/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, 8239, 8032, 8316; 845; 865
1914126931,2023-12-27 17:15,TLM/USDT,MONITOR bot chenel,⏬SHORT, 20x,Cross, 0.01982, 0.02042, 0.01963; 0.01924; 0.01898; 0.01875
1914126931,2023-12-28 11:08,RLC/USDT,MONITOR bot chenel,⏬SHORT, 25x,Cross, 1.8125, 1.8668," 1.7923; 1.7651;,1.7211; 1.6848"
1914126931,2023-12-28 17:09,EOS/USDT,MONITOR bot chenel,⏫LONG, 25x,Cross, 0.870, 0.850, 0.878; 0.892; 0.9; 0.918
