ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1879962710,2023-12-26 12:18,ORDI/USDT,MONITOR bot chenel,⏫Long,10x,Cross, 69.5 - 70.5, 60.0 (-14.6%), 73.5 (50%) - 77.0 (30%) - 84.0 (10%) - 95.0 (10%)
1879962710,2023-12-27 17:52,tendency :  Short,MONITOR bot chenel,⏬margin_type :  Cross,admin :  @gravetrading/,leverage :  10x,instrument :  TRB/USDT,entrance_point :  185.0 - 187.0,stop_loss :  198.5 (-7.4%)
1879962710,2023-12-28 15:57,ICX/USDT,MONITOR bot chenel,⏫Long,10х,Cross, 35.2 - 35.6, 31.1 (-12.2%), 37.2 (50%) - 39.0 (30%) - 41.8 (10%) - 44.8 (10%) 
1879962710,2023-12-29 11:32,ETH/USDT,MONITOR bot chenel,⏫Long,30x,Cross, 2370 - 2380, 2300 (-3.1%), 2415 (50%) - 2454 (30%) - 2500 (10%) - 2600 (10%)
1879962710,2024-01-04 11:50,LINK/USDT,MONITOR bot chenel,⏫Long,10x,Cross, 14.2 - 14.4, 12.7 (-11.0%), 15.0 (50%) - 15.7 (30%) - 16.7 (10%) - 18.2 (10%)
1879962710,2024-01-05 13:08,ORDI/USDT,MONITOR bot chenel,⏫Long,20х,Cross, 74.5 - 74.9, 72.0 (-3.4%), 76.5 (50%) - 78.4 (30%) - 84.0 (10%) - 92.0 (10%)
1879962710,2024-01-08 14:56,LTC/USDT,MONITOR bot chenel,⏫Long,15х,Cross, 65.0 - 66.0, 60.0 (-8.3%), 67.6 (50%) - 69.8 (30%) - 73.3 (10%) - 77.8 (10%)
1879962710,2024-01-09 12:49,AVAX/USDT,MONITOR bot chenel,⏫Long,15x,Cross, 35.9 - 36.2, 33.5 (-7.1%), 37.3 (50%) - 38.5 (30%) - 40.9 (10%) - 43.5 (10%)
1879962710,2024-01-10 14:17,UNI/USDT,MONITOR bot chenel,⏫Long,15х,Cross, 6.00 - 6.07 , 5.60 (-7.2%), 6.24 (50%) - 6.44 (30%) - 6.84 (10%) - 7.35 (10%)
1879962710,2024-01-11 13:53,COTI/USDT,MONITOR bot chenel,⏫Long, 15,Cross, 0.0650 - 0.0657, 0.0617 (-5.5%), 0.0675 (50%) - 0.0697 (30%) - 0.0719 (10%) - 0.0750 (10%)
1879962710,2024-01-12 13:00,OP/USDT,MONITOR bot chenel,⏫Long,10,Cross, 4.06 - 4.11, 3.60 (-11.9%), 4.29 (50%) - 4.50 (30%) - 4.78 (10%) - 5.20 (10%)
1879962710,2024-01-22 11:22,MANA/USDT,MONITOR bot chenel,⏫Long,15,Cross, 0.455 - 0.460, 0.425 (-7.0%), 0.473 (50%) - 0.488 (30%) - 0.519 (10%) - 0.551 (10%)
1879962710,2024-02-12 12:35,AAVE/USDT,MONITOR bot chenel,⏫Long,15,Cross, 85.7 - 86.3 , 81.0 (-5.8%), 88.9 (50%) - 91.8 (30%) - 97.5 (10%) - 108.0 (10%)
1879962710,2024-02-14 15:04,WAVES/USDT,MONITOR bot chenel,⏫Long,10,Cross, 2.25 - 2.28, 2.06 (-9.1%), 2.38 (50%) - 2.49 (30%) - 2.61 (10%) - 2.73 (10%)
