ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1578597359,2023-12-27 09:35,INJ/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 37.9325, 36.7945," 38.2355, 38.539, 39.146"
1578597359,2023-12-27 15:08,WLD/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 3.612, 3.508," 3.64, 3.674, 3.732"
1578597359,2023-12-28 11:19,ARB/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 1.5631, 1.5162," 1.5756, 1.5881, 1.6131"
1578597359,2023-12-28 16:27,BLUR/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 0.4817, 0.4961," 0.4778, 0.4739, 0.4662"
1578597359,2023-12-29 09:51,OP/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 3.6685, 3.5584," 3.6978, 3.7271, 3.7858"
1578597359,2023-12-29 14:41,BCH/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 266.35, 258.7," 268.45, 271, 275.25"
1578597359,2023-12-30 10:10,OP/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 3.6784, 3.568," 3.7078, 3.7372, 3.7961"
1578597359,2023-12-31 10:40,ARB/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 1.5691, 1.522," 1.5816, 1.5942, 1.6193"
1578597359,2024-01-01 10:09,OP/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 3.6966, 3.5857," 3.7261, 3.7557, 3.8148"
1578597359,2024-01-02 10:31,ARB/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 1.7809, 1.8343," 1.7666, 1.7524, 1.7239"
1578597359,2024-01-02 13:12,OP/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 3.8543, 3.9699," 3.8234, 3.7926, 3.7309"
1578597359,2024-01-03 10:09,WLD/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 3.765, 3.652," 3.795, 3.825, 3.885"
1578597359,2024-01-03 15:08,ARB/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 1.8334, 1.7783," 1.848, 1.8627, 1.892"
1578597359,2024-01-04 10:16,OP/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 3.4186, 3.5211," 3.3912, 3.3639, 3.3092"
1578597359,2024-01-04 13:53,ARB/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 1.8996, 1.8444," 1.9167, 1.9316, 1.9623"
1578597359,2024-01-05 09:57,ARB/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 1.9992, 1.9392," 2.0151, 2.0311, 2.0631"
1578597359,2024-01-05 11:35,WLD/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 3.039, 2.947," 3.063, 3.087, 3.136"
1578597359,2024-01-06 10:07,APT/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 9.2285, 9.505," 9.1545, 9.0805, 8.933"
1578597359,2024-01-07 09:41,ARB/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 1.7639, 1.8168," 1.7497, 1.7356, 1.7074"
1578597359,2024-01-07 13:33,INJ/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 37.7935, 36.6595," 38.0955, 38.398, 39.0025"
1578597359,2024-01-08 09:55,ADA/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 0.4871, 0.5017," 0.4832, 0.4793, 0.4715"
1578597359,2024-01-08 13:52,TIA/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 13.628, 14.036," 13.518, 13.409, 13.191"
1578597359,2024-01-08 15:01,LINK/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 13.562, 13.968," 13.453, 13.345, 13.128"
1578597359,2024-01-09 09:57,INJ/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 42.629, 43.9075," 42.2875, 41.9465, 41.2645"
1578597359,2024-01-09 14:29,WLD/USDT,MONITOR bot chenel,⏬SHORT, 10-25х, Кросс, 2.646, 2.725," 2.624, 2.603, 2.561"
1578597359,2024-01-10 11:08,ADA/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 0.5129, 0.4975," 0.517, 0.5211, 0.5293"
1578597359,2024-01-10 15:16,COMP/USDT,MONITOR bot chenel,⏫LONG, 10-25х, Кросс, 50.51, 48.99," 50.91, 51.31, 52.12"
1578597359,2024-01-11 10:48,MATIC/USDT,MONITOR bot chenel,⏫LONG, 10-25, Кросс, 0.922, 0.8943," 0.9293, 0.9367, 0.9515"
1578597359,2024-01-11 15:51,AVAX/USDT,MONITOR bot chenel,⏬SHORT, 10-25, Кросс, 39.49, 40.67," 39.17, 38.855, 38.225"
1578597359,2024-01-12 09:57,WLD/USDT,MONITOR bot chenel,⏫LONG, 10-25, Кросс, 2.826, 2.741," 2.848, 2.871, 2.916"
1578597359,2024-01-12 14:22,GMT/USDT,MONITOR bot chenel,⏫LONG, 10-25, Кросс, 0.3443, 0.3339," 0.347, 0.3498, 0.3553"
1578597359,2024-01-19 16:30,ARB/USDT,MONITOR bot chenel,⏬SHORT, 10-25, Кросс, 1.7898, 1.8334," 1.7707, 1.7515, 1.723"
1578597359,2024-01-20 09:45,WLD/USDT,MONITOR bot chenel,⏬SHORT, 10-25, Кросс, 2.467, 2.541," 2.447, 2.427, 2.388"
1578597359,2024-01-20 12:55,DYDX/USDT,MONITOR bot chenel,⏬SHORT, 10-25, Кросс, 2.816, 2.9," 2.793, 2.77, 2.725"
