ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1591264082,2023-12-24 10:23,DOGE/USDT,MONITOR bot chenel,⏫LONG, х20-x30, кросс," ~0,09362$"," 0,09176$"," 0,0944$ | 0,0955$ | 0,0978$"
1591264082,2023-12-24 10:23,DOGE/USDT,TEST bot chenel,⏫LONG, х20-x30, кросс," ~0,09362$"," 0,09176$"," 0,0944$ | 0,0955$ | 0,0978$"
1591264082,2023-12-25 10:54,KSM/USDT,TEST bot chenel,⏫LONG, х20-x50, кросс," ~50,95$", пока не ставлю, 25% | 50% | 100%
1591264082,2023-12-25 12:43,BCH/USDT,TEST bot chenel,⏫LONG, х20-x50, кросс," ~234,49$", пока не ставлю, 25% | 50% | 100%
1591264082,2023-12-26 10:05,DOT/USDT,TEST bot chenel,⏫LONG, х20-x40, кросс," ~8,954$"," 8,305$", 30% | 60% | 120%
1591264082,2023-12-26 11:14,LQTY/USDT,TEST bot chenel,⏫LONG, х20, кросс," ~1,4474$"," 1,382$"," 1,469$ | 1,4998$ | 1,545$ "
1591264082,2023-12-27 11:49,GTC/USDT,MONITOR bot chenel,⏫LONG, х12-x20, кросс," ~1,590$", пока не ставлю, 25% | 50% | 100%
1591264082,2023-12-28 10:13,COMP/USDT,MONITOR bot chenel,⏫LONG, х25, кросс," ~65,09$"," 61,74$ "," 65,96$ | 67,35$ | 69,29$"
1591264082,2023-12-29 08:09,GAL/USDT,MONITOR bot chenel,⏫LONG, х16-x20, кросс," ~2,2638$", пока не ставлю, 25% | 50% | 100%
1591264082,2023-12-29 13:29,TRB/USDT,MONITOR bot chenel,⏬SHORT, x20-x50, кросс," ~239,180$", пока не ставлю , 30% | 60% | 100%
1591264082,2023-12-30 10:18,DOT/USDT,MONITOR bot chenel,⏫LONG, х20-x50, кросс," 8,153$"," короткий стоп на 8,027$", 30% | 60% | 120% 
1591264082,2024-01-02 12:25,BNB/USDT,MONITOR bot chenel,⏬SHORT, x20-x50, кросс," ~320,34$", пока не ставлю , 30% | 60% | 100%
1591264082,2024-01-03 10:23,ASTR/USDT,MONITOR bot chenel,⏫LONG, х20, кросс," ~0,17986$"," 0,1604$", 25% | 50% | 100%
1591264082,2024-01-03 15:34,ADA/USDT,MONITOR bot chenel,⏫LONG, х20-х75, кросс," ~0,5555$"," 0,5349$", 25% | 50% | 100%
1591264082,2024-01-04 11:01,IOTA/USDT,MONITOR bot chenel,⏫LONG, х20-х50, кросс," ~0,2622$", пока не ставлю , 25% | 50% | 100%
1591264082,2024-01-05 11:17,MASK/USDT,MONITOR bot chenel,⏫LONG, х20-х30, кросс," ~3,441$"," 3,289$ "," 3,474$ | 3,523$ | 3,651$ "
1591264082,2024-01-06 10:26,MATIC/USDT,MONITOR bot chenel,⏫LONG, х20-х50, кросс," ~0,8187$", пока не ставлю  ," 0,8283$ | 0,8339$ | 0,8411$ "
1591264082,2024-01-07 10:33,CFX/USDT,MONITOR bot chenel,⏫LONG, х10-х40, кросс," ~0,1882$"," 0,1634$"," 0,1904$ | 0,1990$ | 0,2218$ "
1591264082,2024-01-07 15:17,AVAX/USDT,MONITOR bot chenel,⏬SHORT, х10-х30, кросс," ~35,258$"," 36,63$"," 34,9$ | 34,34$ | 33,13$ "
1591264082,2024-01-09 11:28,MKR/USDT,MONITOR bot chenel,⏫LONG, х10-х30, кросс," ~1809,02$", 1719$, 1827$ | 1864$ | 1920$ 
1591264082,2024-01-12 09:20,APE/USDT,MONITOR bot chenel,⏫LONG,20-50,кросс,По рынку,пока не ставлю,"1,4883$"
1591264082,2024-01-20 11:05,MATIC/USDT,MONITOR bot chenel,⏬SHORT, 20-50, кросс," ~0,7716$", пока не ставлю," 0,76144 | 0,75647$ | 0,74900$ "
1591264082,2024-01-21 13:00,SUI/USDT,MONITOR bot chenel,⏬SHORT, 10-30, кросс," ~1,1052$"," 1,1591$"," 1,094$ | 1,083$ | 1,062$ | 1,029$"
1591264082,2024-01-22 10:51,DYDX/USDT,MONITOR bot chenel,⏬SHORT, 20-50, кросс," ~2,789$", пока не ставлю," 2,756$ | 2,743$ | 2,716$ "
1591264082,2024-01-23 11:10,DASH/USDT,TEST bot chenel,⏫LONG, 25, кросс," ~26,37$"," 25,48$"," 26,73$ | 27,12$ | 28,41$ "
1591264082,2024-01-24 09:35,BLUR/USDT,TEST bot chenel,⏬SHORT, 20-50, кросс," ~0,6649$"," 0,6916$"," 0,6549$ | 0,6482$ | 0,6383$ "
1591264082,2024-01-28 11:55,RNDR/USDT,MONITOR bot chenel,⏫LONG, 20-50, кросс," ~4,1697$"," 4,0341$"," 4,2322$ | 4,2739$ | 4,3364$ "
1591264082,2024-02-09 08:38,PERP/USDT,MONITOR bot chenel,⏫LONG,5 - 55, кросс," ~1,1273$"," 1,08$"," 1,1413$ | 1,1554$ | 1,1723$ | 1,1949$"
1591264082,2024-02-10 08:21,COMP/USDT,MONITOR bot chenel,⏫LONG,5 - 55, кросс," ~55,06$"," 52,60$"," 55,72$ | 56,64$ | 58,82$ | 61,76$"
1591264082,2024-02-11 11:24,AXS/USDT,MONITOR bot chenel,⏫LONG,5 - 55, кросс," ~7,608$"," 7,361$"," 7,704$ | 7,799$ | 7,913$ | 7,990$"
1591264082,2024-02-12 09:48,BCH/USDT,MONITOR bot chenel,⏬SHORT,5 - 55, кросс," ~272,88$"," 285,9$"," 270,15$ | 266,96$ | 262,87$ | 258,1$ | 253,4$"
1591264082,2024-02-14 11:16,CFX/USDT,MONITOR bot chenel,⏫LONG,5 - 55, кросс," ~0,22857$"," 0,22285$"," 0,23142$ | 0,23428$ | 0,23771$ "
1591264082,2024-02-15 08:48,BAKE/USDT,MONITOR bot chenel,⏫LONG,5 - 55, кросс," ~0,4136$"," 0,4001$"," 0,4187$ | 0,4239$ | 0,4301$ "
1591264082,2024-02-18 10:57,SUSHI/USDT,MONITOR bot chenel,⏫LONG,5 - 55, кросс," ~1,27$"," 1,1811$"," 1,297$ | 1,339$ | 1,394$ | 1,468$"
1591264082,2024-02-19 09:58,PEOPLE/USDT,MONITOR bot chenel,⏫LONG,5 - 55, кросс," ~0,0317$"," 0,3059$"," 0,03209$ | 0,03249$ | 0,03296$ | 0,03344$"
