ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1231491534,2023-12-23 11:27,ZRX/USDT,Bot Testing channel,⏫LONG, 50X ,Cross, 0.3569$, пока не ставим!," 0.3605$, 0.3641$, 0.3808$ - Open"
1231491534,2023-12-24 10:45,DOT/USDT,MONITOR bot chenel,⏬SHORT, 20X ,Cross, 8.711$, пока не ставим!," 8.620$, 8.519$, 8.068$ - Open"
1231491534,2023-12-24 17:01,ACH/USDT,MONITOR bot chenel,⏬SHORT, 20X ,Cross, 0.023025$, пока не ставим!," 0.022784$, 0.022558$, 0.021518$ - Open"
1231491534,2023-12-25 10:56,DAR/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 0.1590$, 0.1659," 0.1574$, 0.1556$, 0.1467$ - Open"
1231491534,2023-12-25 12:32,BAND/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 1.8430$, 1.8985," 1.8239$, 1.8054$, 1.7238$ - Open"
1231491534,2023-12-26 09:39,ICP/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 9.277$, 8.997," 9.370$, 9.463$, 9.847$ - Open"
1231491534,2023-12-26 16:51,AVAX/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 45.203$, 43.736," 45.660$, 46.112$, 48.833$ - Open"
1231491534,2023-12-27 10:53,ETC/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 22.015$, 22.680," 21.795$, 21.556$, 20.691$ - Open"
1231491534,2023-12-27 17:18,MATIC/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 1.0433$, 1.0764," 1.0328$, 1.0213$, 0.9686$ - Open"
1231491534,2023-12-28 10:41,HIGH/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 1.856$, 1.798," 1.875$, 1.894$, 1.979$ - Open"
1231491534,2023-12-28 17:04,HIGH/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 1.751$, 1.695," 1.768$, 1.786$, 1.867$ - Open"
1231491534,2023-12-29 10:42,FIL/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 6.097$, 6.286," 6.036$, 5.965$, 5.635$ - Open"
1231491534,2023-12-29 17:38,MASK/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 3.520$, 3.414," 3.557$, 3.592$, 3.782$ - Open"
1231491534,2023-12-30 10:09,INCH/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 0.4188$, 0.4060," 0.4231$, 0.4280$, 0.4565$ - Open"
1231491534,2023-12-31 10:47,ASTR/USDT,MONITOR bot chenel,⏬SHORT, 20X ,Cross, 0.14512$, 0.14964," 0.14368$, 0.14202$, 0.13471$ - Open"
1231491534,2023-12-31 16:43,FXS/USDT,MONITOR bot chenel,⏫LONG, 20X ,Cross, 8.840$, 8.572," 8.927$, 9.020$, 9.405$ - Open"
1231491534,2024-01-01 11:25,FIL/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 7.263$, 7.491," 7.189$, 7.117$, 6.783$ - Open"
1231491534,2024-01-01 17:16,STX/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 1.4807$, 1.5266," 1.4655$, 1.4504$, 1.3777$ - Open"
1231491534,2024-01-02 10:28,THETA/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 1.3880$, 1.4308," 1.3744$, 1.3594$, 1.2819$ - Open"
1231491534,2024-01-02 17:21,LINK/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 15.373$, пока не ставлю," 15.536$, 15.683$, 16.170$ - Open"
1231491534,2024-01-03 10:41,APE/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 1.738$, пока не ставлю," 1.719$, 1.703$, 1.611$ - Open"
1231491534,2024-01-03 17:13,IOTA/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 0.2625$, пока не ставлю," 0.2652$, 0.2678$, 0.2811$ - Open"
1231491534,2024-01-04 10:25,ZRX/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 0.3250$, пока не ставлю," 0.3286$, 0.3318$, 0.3410$ - Open"
1231491534,2024-01-04 17:08,ARPA/USDT,MONITOR bot chenel,⏬SHORT, 20X ,Cross, 0.06108$, пока не ставлю," 0.06044$, 0.05983$, 0.05663$ - Open"
1231491534,2024-01-05 10:36,AVAX/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 37.082$, пока не ставлю," 37.456$, 37.824$, 39.493$ - Open"
1231491534,2024-01-05 16:47,ASTR/USDT,MONITOR bot chenel,⏫LONG, 20X ,Cross, 0.15512$, пока не ставлю," 0.15668$, 0.15824$, 0.16772$ - Open"
1231491534,2024-01-06 10:56,C/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 0.2327$, пока не ставлю," 0.2349$, 0.2374$, 0.2478$ - Open"
1231491534,2024-01-07 10:45,CHZ/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 0.07807$, пока не ставлю," 0.07886$, 0.07962$, 0.08280$ - Open"
1231491534,2024-01-07 16:49,GALA/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 0.02560$, пока не ставлю," 0.02585$, 0.02611$, 0.02721$ - Open"
1231491534,2024-01-08 10:39,ALICE/USDT,MONITOR bot chenel,⏫LONG, 25X ,Cross, 1.110$, пока не ставлю," 1.121$, 1.132$, 1.199$ - Open"
1231491534,2024-01-08 14:54,ICP/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 12.902$, пока не ставлю," 12.761$, 12.637$, 11.742$ - Open"
1231491534,2024-01-09 10:45,AVAX/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 36.486$, пока не ставлю," 36.088$, 35.710$, 33.263$ - Open"
1231491534,2024-01-09 15:35,LINA/USDT,MONITOR bot chenel,⏫LONG, 20X ,Cross, 0.00773$, пока не ставлю," 0.00782$, 0.00789$, 0.00829$ - Open"
1231491534,2024-01-10 10:17,LTC/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 67.56$, пока не ставлю," 66.90$, 66.15$, 63.13$ - Open"
1231491534,2024-01-10 16:09,LINK/USDT,MONITOR bot chenel,⏬SHORT, 25X ,Cross, 14.237$, пока не ставлю," 14.083$, 13.937$, 13.238$ - Open"
1231491534,2024-01-11 10:45,COMP/USDT,MONITOR bot chenel,⏬SHORT, 25 ,Cross, 55.79$, пока не ставлю," 55.22$, 54.63$, 51.69$ - Open"
1231491534,2024-01-11 16:54,ENJ/USDT,MONITOR bot chenel,⏬SHORT, 25 ,Cross, 0.3236$, пока не ставлю," 0.3201$, 0.3164$, 0.3003$ - Open"
1231491534,2024-01-12 10:30,APT/USDT,MONITOR bot chenel,⏫LONG, 25 ,Cross, 9.555$, пока не ставлю," 9.650$, 9.748$, 10.182$ - Open"
1231491534,2024-01-12 16:25,LINK/USDT,MONITOR bot chenel,⏫LONG, 25 ,Cross, 14.873$, пока не ставлю," 15.026$, 15.181$, 16.133$ - Open"
1231491534,2024-01-28 15:00,BAT/USDT,MONITOR bot chenel,⏬Шорт, 25 ,Сross, 0.2268$, пока не ставим!, 0.2245$ - 0.2222$ - 0.2031$- Open
1231491534,2024-01-28 16:07,STORJ/USDT,MONITOR bot chenel,⏬Шорт, 25 ,Сross, 0.6191$, пока не ставим!, 0.6127$ - 0.6064$ - 0.5506$- Open
1231491534,2024-01-29 10:52,SUSHI/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 1.1067$, пока не ставим!, 1.1179$ - 1.1299$ - 1.1971$- Open
1231491534,2024-02-08 17:33,SNX/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 3.349$, 3.198, 3.382$ - 3.415$ - 3.597$- Open
1231491534,2024-02-09 10:35,AVAX/USDT,MONITOR bot chenel,⏬Шорт, 25 ,Сross, 36.069$, 37.692, 35.701$ - 35.329$ - 33.509$- Open
1231491534,2024-02-09 17:10,ICX/USDT,MONITOR bot chenel,⏬Шорт, 20 ,Сross, 0.2268$, 0.2372, 0.2245$ - 0.2222$ - 0.2083$- Open
1231491534,2024-02-10 10:58,AAVE/USDT,MONITOR bot chenel,⏫Лонг, 20 ,Сross, 86.454$, 82.578, 87.308$ - 88.334$ - 92.666$- Open
1231491534,2024-02-11 11:05,RNDR/USDT,MONITOR bot chenel,⏫Лонг, 20 ,Сross, 4.7262$, 4.5116, 4.7734$ - 4.8237$ - 5.01123$- Open
1231491534,2024-02-11 17:11,COMP/USDT,MONITOR bot chenel,⏫Лонг, 20 ,Сross, 55.46$, 52.94, 56.02$ - 56.59$ - 60.11$- Open
1231491534,2024-02-12 10:57,AAVE/USDT,MONITOR bot chenel,⏫Лонг, 20 ,Сross, 85.687$, 81.833, 86.549$ - 87.413$ - 92.606$- Open
1231491534,2024-02-12 17:30,OCEAN/USDT,MONITOR bot chenel,⏫Лонг, 20 ,Сross, 0.4828$, 0.4613, 0.4879$ - 0.4935$ - 0.5252$- Open
1231491534,2024-02-13 16:12,GALA/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 0.02445$, 0.02335, 0.02471$ - 0.02494$ - 0.02675$- Open
1231491534,2024-02-14 10:42,ONE/USDT,MONITOR bot chenel,⏬Шорт, 25 ,Сross, 0.01665$, 0.01742, 0.01648$ - 0.01631$ - 0.01519$- Open
1231491534,2024-02-14 16:32,LTC/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 69.44$, 66.32, 70.17$ - 70.87$ - 76.05$- Open
1231491534,2024-02-15 10:47,COMP/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 57.85$, 55.24, 58.43$ - 59.00$ - 62.73$- Open
1231491534,2024-02-15 16:42,ATOM/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 10.275$, 9.812, 10.377$ - 10.480$ - 11.214$- Open
1231491534,2024-02-16 10:21,LDO/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 3.2576$, 3.1139, 3.2908$ - 3.3245$ - 3.5547$- Open
1231491534,2024-02-18 10:43,KAVA/USDT,MONITOR bot chenel,⏬Шорт, 25 ,Сross, 0.7552$, 0.7893, 0.7477$ - 0.7400$ - 0.6920$- Open
1231491534,2024-02-18 16:36,MASK/USDT,MONITOR bot chenel,⏬Шорт, 25 ,Сross, 3.829$, 4.001, 3.789$ - 3.750$ - 3.522$- Open
1231491534,2024-02-19 10:50,NEO/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 12.866$, 12.280, 12.999$ - 13.141$ - 14.054$- Open
1231491534,2024-02-19 16:19,APT/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross, 9.949$, 9.496, 10.048$ - 10.151$ - 10.844$- Open
1231491534,2024-02-20 10:35,LDO/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 3.1968, 3.0515, 3.2303$ - 3.2622$ - 3.4728$- Open
1231491534,2024-02-20 15:45,AAVE/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 92.178, 88.017, 93.100$ - 94.052$ - 100.002$- Open
1231491534,2024-02-21 10:34,SNX/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 3.482, 3.324, 3.517$ - 3.553$ - 3.837$- Open
1231491534,2024-02-21 16:45,FTM/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 0.3991, 0.3810, 0.4032$ - 0.4071$ - 0.4368$- Open
1231491534,2024-02-22 11:07,SNX/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 3.557, 3.395, 3.594$ - 3.629$ - 3.914$- Open
1231491534,2024-02-22 17:21,ICP/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 12.966, 12.384, 13.095$ - 13.230$ - 14.479$- Open
1231491534,2024-02-23 10:39,NEO/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 12.415, 11.851, 12.541$ - 12.668$ - 13.595$- Open
1231491534,2024-02-23 17:11,ARB/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 1.7798, 1.6991, 1.7975$ - 1.8166$ - 1.9605$- Open
1231491534,2024-02-24 10:59,BEL/USDT,MONITOR bot chenel,⏫Лонг, 20 ,Сross,ТВХ 0.7488, 0.7147, 0.7564$ - 0.7638$ - 0.7966$- Open
1231491534,2024-02-25 10:52,LINK/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 18.498, 17.658, 18.693$ - 18.859$ - 20.239$- Open
1231491534,2024-02-25 16:22,SXP/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 0.3673, 0.3507, 0.3710$ - 0.3749$ - 0.4014$- Open
1231491534,2024-02-26 10:53,LDO/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 3.3364, 3.1849, 3.3726$ - 3.4053$ - 3.6318$- Open
1231491534,2024-02-26 17:19,ZIL/USDT,MONITOR bot chenel,⏬Шорт, 25 ,Сross,ТВХ 0.02617, 0.02736, 0.02591$ - 0.02559$ - 0.02372$- Open
1231491534,2024-02-27 10:42,SNX/USDT,MONITOR bot chenel,⏫Лонг, 25 ,Сross,ТВХ 4.018, 3.837, 4.060$ - 4.101$ - 4.389$- Open
1231491534,2024-02-27 15:50,ASTR/USDT,MONITOR bot chenel,⏫Лонг, 20 ,Сross,ТВХ 0.16178, 0.15454, 0.16345$ - 0.16510$ - 0.17931$- Open
