ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1869173929,2023-12-23 11:29,FIL/USDT,Bot Testing channel,⏫LONG, х25,Cross,5.351-5.188, 5.026, 1-5.404 2-5.460 3-5.525 4-5.758
1869173929,2023-12-24 10:41,ASTR/USDT,MONITOR bot chenel,⏬SHORT, х20,Cross,0.10927-0.11257, 0.11589, 1-0.10811 2-0.10703 3-0.10569 4-0.10053
1869173929,2023-12-24 16:55,ZIL/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,0.02735-0.02822, 0.02899, 1-0.02709 2-0.02677 3-0.02652 4-0.02539
1869173929,2023-12-25 10:41,DUSK/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,0.17438-0.17975, 0.18491, 1-0.17258 2-0.17082 3-0.16892 4-0.15992
1869173929,2023-12-25 12:23,GMT/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,0.3018-0.3109, 0.3203, 1-0.2987 2-0.2954 3-0.2918 4-0.2789
1869173929,2023-12-26 09:41,SNX/USDT,MONITOR bot chenel,⏫LONG, х25,Cross,3.957-3.838, 3.717, 1-3.997 2-4.040 3-4.083 4-4.216
1869173929,2023-12-26 16:55,NEO/USDT,MONITOR bot chenel,⏫LONG, х25,Cross,13.745-13.324, 12.914, 1-13.881 2-14.036 3-14.176 4-14.824
1869173929,2023-12-27 10:24,MATIC/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,1.0629-1.0949, 1.1268, 1-1.0525 2-1.0412 3-1.0303 4-0.9905
1869173929,2023-12-27 16:52,SSV/USDT,MONITOR bot chenel,⏬SHORT, х20,Cross,26.16-26.94, 27.73, 1-25.86 2-25.61 3-25.11 4-23.43
1869173929,2023-12-28 10:30,AXS/USDT,MONITOR bot chenel,⏫LONG, х25,Cross,9.3282-9.0479, 8.7635, 1-9.4176 2-9.5160 3-9.6210 4-9.9941
1869173929,2023-12-28 16:57,AGIX/USDT,MONITOR bot chenel,⏫LONG, х25,Cross,0.3326-0.3226, 0.3123, 1-0.3362 2-0.3394 3-0.3429 4-0.3568
1869173929,2023-12-29 10:35,ALGO/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,0.2406-0.2479, 0.2553, 1-0.2381 2-0.2356 3-0.2323 4-0.2205
1869173929,2023-12-29 16:38,ICP/USDT,MONITOR bot chenel,⏫LONG, х25,Cross,9.296-9.004, 8.731, 1-9.393 2-9.488 3-9.583 4-10.077
1869173929,2023-12-30 10:03,GMT/USDT,MONITOR bot chenel,⏫LONG, х25,Cross,0.2936-0.2845, 0.2759, 1-0.2970 2-0.3000 3-0.3035 4-0.3151
1869173929,2023-12-31 10:40,NEO/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,14.193-14.619, 15.055, 1-14.052 2-13.895 3-13.725 4-13.114
1869173929,2023-12-31 16:39,PHB/USDT,MONITOR bot chenel,⏫LONG, х20,Cross,1.0400-1.0080, 0.9773, 1-1.0506 2-1.0613 3-1.0724 4-1.1150
1869173929,2024-01-01 11:11,SXP/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,0.4182-0.4308, 0.4437, 1-0.4141 2-0.4095 3-0.4056 4-0.3849
1869173929,2024-01-01 17:04,MINA/USDT,MONITOR bot chenel,⏬SHORT, х25,Cross,1.4696-1.5144, 1.5590, 1-1.4556 2-1.4404 3-1.4245 4-1.3660
